Date,Cases Rate - Total,Deaths Rate - Total,Hospitalizations Rate - Total,Cases Rate - Age 0-17,Cases Rate - Age 18-29,Cases Rate - Age 30-39,Cases Rate - Age 40-49,Cases Rate - Age 50-59,Cases Rate - Age 60-69,Cases Rate - Age 70-79,Cases Rate -  Age 80+,Cases Rate - Female,Cases Rate - Male,Cases Rate - Latinx,Cases Rate - Asian Non-Latinx,Cases Rate - Black Non-Latinx,Cases Rate - White Non-Latinx,Cases Rate - Other Race Non-Latinx,Deaths Rate - Age 0-17,Deaths Rate - Age 18-29,Deaths Rate - Age 30-39,Deaths Rate - Age 40-49,Deaths Rate - Age 50-59,Deaths Rate - Age 60-69,Deaths Rate - Age 70-79,Deaths Rate - Age 80+,Deaths Rate - Female,Deaths Rate - Male,Deaths Rate - Latinx,Deaths Rate - Asian Non-Latinx,Deaths Rate - Black Non-Latinx,Deaths Rate - White Non-Latinx,Deaths Rate - Other Race Non-Latinx,Hospitalizations Rate -  Age 0-17,Hospitalizations Rate -  Age 18-29,Hospitalizations Rate -  Age 30-39,Hospitalizations Rate -  Age 40-49,Hospitalizations Rate -  Age 50-59,Hospitalizations Rate -  Age 60-69,Hospitalizations Rate -  Age 70-79,Hospitalizations Rate -  Age 80+,Hospitalizations Rate -  Female,Hospitalizations Rate -  Male,Hospitalizations Rate -  Latinx,Hospitalizations Rate -  Asian Non-Latinx,Hospitalizations Rate -  Black Non-Latinx,Hospitalizations Rate -  White Non-Latinx,Hospitalizations Rate -  Other Race Non-Latinx,Cases - Total,Deaths - Total,Hospitalizations - Total,Cases - Age 0-17,Cases - Age 18-29,Cases - Age 30-39,Cases - Age 40-49,Cases - Age 50-59,Cases - Age 60-69,Cases - Age 70-79,Cases -  Age 80+,Cases - Female,Cases - Male,Cases - Latinx,Cases - Asian Non-Latinx,Cases - Black Non-Latinx,Cases - White Non-Latinx,Cases - Other Race Non-Latinx,Deaths - Age 0-17,Deaths - Age 18-29,Deaths - Age 30-39,Deaths - Age 40-49,Deaths - Age 50-59,Deaths - Age 60-69,Deaths - Age 70-79,Deaths - Age 80+,Deaths - Female,Deaths - Male,Deaths - Latinx,Deaths - Asian Non-Latinx,Deaths - Black Non-Latinx,Deaths - White Non-Latinx,Deaths - Other Race Non-Latinx,Hospitalizations - Age 0-17,Hospitalizations - Age 18-29,Hospitalizations - Age 30-39,Hospitalizations - Age 40-49,Hospitalizations - Age 50-59,Hospitalizations - Age 60-69,Hospitalizations - Age 70-79,Hospitalizations - Age 80+,Hospitalizations - Female,Hospitalizations - Male,Hospitalizations - Latinx,Hospitalizations - Asian Non-Latinx,Hospitalizations - Black Non-Latinx,Hospitalizations - White Non-Latinx,Hospitalizations - Other Race Non-Latinx
12-06-2021,35.34,0.22,2.42,40.41,37.8,40.04,38.77,30.9,24.66,19.96,22.5,36.03,34.35,20.42,15.09,27.49,27.14,84.3,0,0.03,0.03,0.17,0.23,0.71,0.74,1.79,0.16,0.28,0.13,0,0.4,0.21,0,0.21,0.96,1.31,2.25,3.06,4.62,8.46,13.4,2.39,2.46,1.56,0.48,3.68,1.94,3.59,956.3,6,65.6,221.9,209,182.7,130.4,96.7,64.9,31,18,499.4,453.4,158.6,27.1,215.6,244.3,100.7,0,0.1,0.1,0.6,0.7,1.9,1.1,1.4,2.3,3.7,1,0,3.1,1.9,0,1.1,5.3,6,7.6,9.6,12.1,13.1,10.7,33.1,32.4,12.1,0.9,28.9,17.4,4.3
09/22/2022,13.36,0.03,1.03,12.59,11.32,12.62,13.46,13.37,15.26,16.92,23.4,15.32,11.29,12.47,9.77,11.99,9.81,12.68,0,0,0,0,0,0,0.09,0.71,0.03,0.02,0.04,0,0.02,0.03,0,0.29,0.39,0.59,0.55,0.82,1.96,3.95,7.14,1.04,1.02,0.81,0.56,1.42,0.81,0.84,361.6,0.7,27.9,69.1,62.6,57.6,45.3,41.9,40.1,26.3,18.7,212.3,149,96.9,17.6,94,88.3,15.1,0,0,0,0,0,0,0.1,0.6,0.4,0.3,0.3,0,0.1,0.3,0,1.6,2.1,2.7,1.9,2.6,5.1,6.1,5.7,14.4,13.4,6.3,1,11.1,7.3,1
02-06-2024,5.6,0.04,0.65,6.22,3.44,4.82,5.73,5.93,6.84,7.08,11.97,6.45,4.66,5.48,2.78,5.45,4.37,7.17,0,0,0,0.04,0,0,0.18,0.71,0.04,0.03,0.02,0,0.05,0.05,0,0.23,0.34,0.25,0.38,0.78,1.14,1.75,5,0.61,0.7,0.59,0.4,0.86,0.44,1.08,151.6,1,17.7,34.1,19,22,19.3,18.6,18,11,9.6,89.4,61.6,42.6,5,42.7,39.3,8.6,0,0,0,0.1,0,0,0.3,0.6,0.6,0.4,0.1,0,0.4,0.4,0,1.3,1.9,1.1,1.3,2.4,3,2.7,4,8.4,9.3,4.6,0.7,6.7,4,1.3
02-07-2024,5.68,0.04,0.69,6.56,3.46,4.76,5.6,6.3,6.84,6.44,12.68,6.45,4.84,5.72,2.86,5.36,4.35,6.7,0,0,0,0.04,0,0,0.18,0.89,0.05,0.03,0.04,0,0.05,0.05,0,0.29,0.34,0.28,0.38,0.78,1.14,1.93,5.36,0.66,0.73,0.61,0.32,1.02,0.43,0.96,153.6,1.1,18.7,36,19.1,21.7,18.9,19.7,18,10,10.1,89.4,63.9,44.4,5.1,42,39.1,8,0,0,0,0.1,0,0,0.3,0.7,0.7,0.4,0.3,0,0.4,0.4,0,1.6,1.9,1.3,1.3,2.4,3,3,4.3,9.1,9.6,4.7,0.6,8,3.9,1.1
03/14/2020,0.61,0,0.24,0.1,0.65,0.78,0.85,0.82,0.71,0.74,0.54,0.49,0.74,0.24,0.48,0.42,1.06,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.03,0.13,0.21,0.37,0.65,0.92,0.89,0.24,0.24,0.13,0.08,0.42,0.21,0.12,16.6,0,6.4,0.6,3.6,3.6,2.9,2.6,1.9,1.1,0.4,6.9,9.7,1.9,0.9,3.3,9.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1,0.6,0.7,1.1,1.7,1.4,0.7,3.3,3.1,1,0.1,3.3,1.9,0.1
03/15/2020,0.81,0,0.31,0.1,0.72,1,1.19,1.19,0.98,1.01,1.07,0.62,1.01,0.33,0.79,0.66,1.29,0.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.16,0.42,0.41,0.87,1.1,0.71,0.27,0.35,0.17,0.24,0.53,0.25,0.12,21.9,0,8.3,0.6,4,4.6,4,3.7,2.6,1.6,0.9,8.6,13.3,2.6,1.4,5.1,11.6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.3,0.7,1.4,1.3,2.3,1.7,0.6,3.7,4.6,1.3,0.4,4.1,2.3,0.1
03/16/2020,1.19,0.01,0.36,0.05,1.06,1.66,1.95,1.73,1.36,1.29,1.07,0.96,1.43,0.44,1.19,1.09,1.75,0.36,0,0,0,0,0,0.05,0,0,0.01,0,0,0,0.02,0,0,0,0.08,0.13,0.64,0.55,0.98,1.1,0.89,0.3,0.43,0.17,0.24,0.71,0.27,0.12,32.1,0.1,9.9,0.3,5.9,7.6,6.6,5.4,3.6,2,0.9,13.3,18.9,3.4,2.1,8.6,15.7,0.4,0,0,0,0,0,0.1,0,0,0.1,0,0,0,0.1,0,0,0,0.4,0.6,2.1,1.7,2.6,1.7,0.7,4.1,5.7,1.3,0.4,5.6,2.4,0.1
03/17/2020,1.64,0.01,0.46,0.03,1.4,2.22,2.63,2.51,2.39,1.29,1.61,1.26,2.03,0.61,1.27,1.79,2.29,0.48,0,0,0,0,0.05,0.05,0,0,0.01,0.01,0,0,0.04,0,0,0,0.13,0.16,0.72,0.73,1.2,1.38,1.25,0.34,0.58,0.24,0.24,0.91,0.33,0,44.3,0.3,12.4,0.1,7.7,10.1,8.9,7.9,6.3,2,1.3,17.4,26.9,4.7,2.3,14,20.6,0.6,0,0,0,0,0.1,0.1,0,0,0.1,0.1,0,0,0.3,0,0,0,0.7,0.7,2.4,2.3,3.1,2.1,1,4.7,7.7,1.9,0.4,7.1,3,0
03/18/2020,2.42,0.02,0.63,0.08,2.09,3.19,4.2,3.42,3.26,2.3,2.5,2.04,2.82,0.92,1.91,2.84,3.17,0.96,0,0,0,0,0.05,0.05,0,0.18,0.02,0.01,0,0,0.05,0,0,0,0.13,0.22,0.81,1,1.63,2.21,2.14,0.43,0.83,0.31,0.48,1.24,0.43,0.12,65.6,0.4,17,0.4,11.6,14.6,14.1,10.7,8.6,3.6,2,28.3,37.3,7.1,3.4,22.3,28.6,1.1,0,0,0,0,0.1,0.1,0,0.1,0.3,0.1,0,0,0.4,0,0,0,0.7,1,2.7,3.1,4.3,3.4,1.7,6,11,2.4,0.9,9.7,3.9,0.1
03/19/2020,3.29,0.03,0.78,0.21,2.82,4.51,5.65,4.38,4.07,3.86,2.86,2.89,3.71,1.29,2.7,4.24,3.92,1.79,0,0,0,0,0.05,0.05,0.09,0.36,0.03,0.02,0,0,0.07,0.02,0,0,0.16,0.25,1.1,1.37,1.79,2.85,2.32,0.56,1.01,0.39,0.48,1.57,0.51,0.24,89,0.7,21,1.1,15.6,20.6,19,13.7,10.7,6,2.3,40,49,10,4.9,33.3,35.3,2.1,0,0,0,0,0.1,0.1,0.1,0.3,0.4,0.3,0,0,0.6,0.1,0,0,0.9,1.1,3.7,4.3,4.7,4.4,1.9,7.7,13.3,3,0.9,12.3,4.6,0.3
